family,actual_column,source,grain,dtype,non_null_n,zero_n,min,max,semantic_evidence,numerator_or_denominator,usable_for_count_model,usage_note
PROGRESSION,국외진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,7406.0,0.0,18.181818181818183,P2_G2_정시입결_raw column name matched: 국외진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
GRADE,학점포기제유무,P2_G2_정시입결_raw,source_native,str,10242.0,,,,P2_G2_정시입결_raw column name matched: 학점포기제유무,semantic_candidate,False,Candidate count only; not sufficient by itself.
EMPLOYMENT,employment_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
EMPLOYMENT,health_employment_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=target_candidate_not_feature,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,vocational_college_progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,university_progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,graduate_school_progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=target_candidate_not_feature,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,domestic_progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,overseas_progression_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
EMPLOYMENT,has_employment,column_registry:D08_v2,registry,boolean,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,has_progression,column_registry:D08_v2,registry,boolean,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,graduates_n,column_registry:D08_v2,registry,Int32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
PROGRESSION,log_graduates,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
EMPLOYMENT,goms_recent_employment_rate_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
EMPLOYMENT,goms_recent_self_employed_pct,column_registry:D08_v2,registry,Float32,,,,,registry_reason=candidate_feature_or_context,registry_candidate,False,Registry lacks count numerator/denominator contract.
