학과_계열,universities,rows,admission_non_null,a_rate_mean,cd_rate_mean,f_rate_mean,employment_rate_mean,advancement_rate_mean
생활체육,15,15,1,36.938213008146555,25.469875245773174,3.9265977909997294,74.90103242135763,3.1325131391297
성악과,15,15,3,44.972184997643105,9.33246854376655,8.266938428834225,51.13430801867046,15.989163857584911
태권도,15,15,3,43.47404565669692,18.614777819186493,1.7078375103024583,71.5157526328656,2.8716503691844597
공연예술,14,14,1,47.14107407781158,15.902031887826272,3.7318745888769427,71.42038101790425,4.790884038562057
음악교육과,14,14,2,41.25594510217423,15.108782169046961,0.9216415794041943,47.02372344676635,4.434629062775516
일본,14,14,8,44.55997457566986,16.493303893474707,4.750724812615125,47.39235702850487,2.8462689907495102
제약공,14,14,7,42.77907024152808,19.223791911854125,1.8979518728643712,67.53788790901794,16.33568301119666
호텔경영,14,14,3,38.72068809482039,18.34877882797605,2.7953616974997275,67.46415157437728,0.0
국어국문학,13,13,0,41.813515189340265,18.064109723090773,1.7864515789271924,52.694230734202684,2.998545572074984
기계공학,13,13,0,40.527348920390715,21.686178845645394,1.713734196703307,66.32078508449534,10.586400125469005
문예창작,13,13,4,30.471391611368247,18.71001075885633,10.778063568111442,51.69053769756093,5.905353504847931
보건행정,13,13,8,39.13166822981501,20.252700643629,1.9978210509064669,68.75320616020133,3.1684922700541827
소방방재,13,13,9,38.79419323258109,17.276279445977224,7.97479799111765,64.24371740161213,3.1510677344010674
식품영양학,13,13,0,36.86668858932664,19.41841437294213,0.6249420817803026,65.87486081170292,9.51831571253478
안경광,13,13,3,40.564232310856866,17.61335639935976,1.68995098983513,74.54588491430596,2.586585786565175
언어치료,13,13,2,46.38981403738581,22.295501821554865,2.0120547640659816,69.71474837253717,4.726675285498815
음악과,13,13,1,54.079211980061245,12.136744646974885,3.0799453273667052,54.782323640884435,14.429568851258155
컴퓨터교육과,13,13,5,36.497570159790875,18.51676084022167,2.704129521469789,62.98214971139426,3.565481113868211
행정학,13,13,0,41.79609624490582,23.013729077555826,1.3498818736022202,53.550682856874815,0.4072565716401332
호텔관광경영,13,13,1,43.36764842071128,17.456536415917387,6.905176679424139,61.229941751813165,1.7063492063492063
부동산,12,12,4,39.00802763020331,17.120050932347134,1.9344399863403703,62.6791711654365,1.7625101070441573
소프트웨어융합,12,12,6,37.780016509536374,22.61146204715524,2.642850266010744,52.33647729925303,9.385225551727435
신문방송,12,12,1,45.92776074064492,15.563886046530804,2.773425657205495,69.83346816409868,3.0704512854463206
영어영문학,12,12,1,40.75380968585464,23.341600757698,2.4782125552446352,54.881388783854966,4.370595932707734
자율,12,12,8,31.399642428785203,28.020346563937053,11.483873393290102,50.90354090354091,3.9515976555114385
전자공학,12,12,0,39.69903885622867,21.776680981313973,2.1305619224094707,65.09030031971209,11.8158325414423
피아노과,12,12,1,50.095452922129915,13.17951256386503,4.771915747721695,55.33383421763131,16.7708626325628
한국어문,12,12,6,42.44648469523351,16.291084279253862,1.933821064251893,53.119873695637054,3.215464909543857
회계세무,12,12,6,33.720477966765614,26.033071941229696,3.363769446424085,52.82021732522289,0.21645021645021645
가정교육과,11,11,9,47.30158902452176,11.15601071946427,0.7877599477564595,45.098289916471735,3.5586962057550293
경제학,11,11,0,39.54540648768147,23.837410105843333,2.9294820553148297,55.9994863011237,4.6762461455469175
관현악과,11,11,1,60.21806540210826,9.571946961347791,1.6207639703894279,54.62401766481463,12.908253380455676
디지털콘텐츠,11,11,5,43.763816878756586,15.881894470000258,7.73413696623784,48.62249312870688,2.789115646258504
메카트로닉스공,11,11,4,34.633828801709335,20.96369130392893,7.546901688242975,65.9176899693596,6.206932773109244
물리교육과,11,11,10,38.57266979072677,18.21610896282855,2.581588789009805,58.01060051060051,4.454099821746881
미래자동차공,11,11,7,29.36294809094454,23.251070135896892,10.771151799400059,75.49171842650104,15.58488194631475
미술교육과,11,11,1,42.972638640088284,14.167977678399392,1.3199480752532875,47.33585597564165,2.0754448803229293
사회체육,11,11,2,47.56427357596422,12.852788399219806,4.786154861301464,81.83983293358293,2.8628311606391925
생물교육과,11,11,10,39.79892297978975,18.095881723092926,1.0750629120938582,40.866304747883696,5.67354214413038
실용음악과,11,11,1,51.202384146312596,10.462774635222353,2.5992163034634177,71.89253305677988,4.236937830687831
의료경영,11,11,3,41.39355896722788,14.389755425107985,1.6746297482692554,74.37384537508987,0.6073059360730593
작곡과,11,11,2,55.73395371454905,10.289038454932914,2.8116832620216474,58.577811077811084,16.29740486551632
전기공학,11,11,1,37.78971575914627,21.74856141787651,2.805123693516024,58.69182968873743,5.745406665718007
중등특수교육과,11,11,6,41.328622717705535,15.778148383258753,1.1234266073550656,56.684134578871415,0.8658008658008658
컴퓨터,11,11,5,32.637518319923075,26.49052501710091,5.538448239832815,58.047148836921046,6.998450435627486
한의,11,11,0,32.23825198760405,26.669506684989248,0.17700433409358463,94.13545070640117,0.5109622609622609
