outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,match_status,match_method,unmatched_reason,row_qa_status,review_needed,headcount_match_flag,campus_conflict_flag,major7_mapping_method,major7_mapping_confidence,major7_review_needed,graduates_n,enrolled_students_n,applicants_n,a_rate_pct,cd_rate_pct,f_rate_pct,selectivity_proxy_pct,health_employment_rate_pct,graduate_school_progression_rate_pct,employment_rate_pct,progression_rate_pct,drop_structure_unresolved,drop_campus_conflict,drop_major7_unresolved,drop_d08_key_duplicate,drop_normalized_name_duplicate,drop_core_identity_missing,target_extreme_small_denom__a_rate_pct,target_extreme_small_denom__cd_rate_pct,target_extreme_small_denom__f_rate_pct,target_extreme_small_denom__selectivity_proxy_pct,target_extreme_small_denom__health_employment_rate_pct,target_extreme_small_denom__graduate_school_progression_rate_pct,target_extreme_small_denom__employment_rate_pct,target_extreme_small_denom__progression_rate_pct,drop_rate_extreme_small_denominator,strict_drop,strict_keep,drop_reasons,rate_extreme_targets
OC2024_00035,가천대학교,,물리학과,물리학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,26,231,862,53.14926,17.258984,1.8927866,82.12,36.842106,26.923077,47.36842,26.923077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00036,가천대학교,,물리치료학과,물리치료학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,48,301,1412,59.029198,11.543202,0.66560966,86.4,80.95238,2.0833333,90.47619,2.0833333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00037,가천대학교,,미디어커뮤니케이션학과,미디어커뮤니케이션학과,ART,manual_pending,manual_pending,multiple_fuzzy_or_conflict,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,55.045036,16.154997,2.4474514,82.55,53.92157,0.7633588,64.70588,0.7633588,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00038,가천대학교,,미래자동차학과,미래자동차학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,10,139,235,41.002174,27.110403,3.4496813,,71.42857,20.0,71.42857,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00039,가천대학교,,미술·디자인학부(디자인) | 미술·디자인학부(패션디자인) | 미술·디자인학부(회화·조소),미술디자인학부디자인미술디자인학부패션디자인미술디자인학부회화조소,ART,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,60.09504,8.057846,4.2373323,,43.502827,4.2056074,62.146893,4.6728973,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00040,가천대학교,,바이오나노학과,바이오나노학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,41,265,871,66.41863,6.9048724,1.6693785,84.75,41.666668,34.146343,50.0,36.585365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00041,가천대학교,,바이오의료기기학과,바이오의료기기학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,109,244,47.5238,22.930645,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00042,가천대학교,,반도체・디스플레이학과,반도체디스플레이학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,71,275,45.876884,26.104637,3.2944915,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00043,가천대학교,,반도체・전자공학부,반도체전자공학부,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,240,3945,42.027714,16.325136,4.6643248,84.85,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00044,가천대학교,,반도체공학부(반도체・디스플레이전공) | 반도체공학부(반도체설계전공),반도체공학부반도체디스플레이전공반도체공학부반도체설계전공,ENG,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,exact_dictionary,medium,False,,,,49.65994,15.821998,1.100629,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00045,가천대학교,,반도체설계학과,반도체설계학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,52,268,48.008865,30.352837,0.9592199,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00046,가천대학교,,방사선학과,방사선학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,50,256,1039,56.11522,16.590109,1.2179668,87.15,83.67347,2.0,85.71429,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00047,가천대학교,,법학과,법학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,89,693,1738,52.936974,22.147833,2.1000986,81.2,48.275864,2.247191,50.57471,2.247191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00048,가천대학교,,사회복지학과,사회복지학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,74,305,1199,58.538246,18.590885,0.50790244,81.6,64.38356,0.0,65.753426,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00049,가천대학교,,산업경영공학과,산업경영공학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,61,91,0,70.84749,9.100661,0.42016807,,54.545456,8.196721,61.81818,9.836065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00050,가천대학교,,생명과학과,생명과학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,47,272,1238,55.113583,18.331892,1.8712735,84.18,40.0,31.914894,50.0,34.042553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
