topic_id,topic_name,year,subgroup,share_sum,qa_status
GOMS_006,취업자의 전공별 산업 분포,2012,전체,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,공학,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,교육,99.30000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,사회,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,예체능,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,의약,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,인문,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,자연,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2013,전체,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,공학,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,교육,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,사회,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,예체능,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,의약,99.5,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,인문,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,자연,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2014,전체,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,공학,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,교육,99.39999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,사회,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,예체능,99.19999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,의약,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,인문,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,자연,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2015,전체,99.4,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,공학,98.89999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,교육,99.4,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,사회,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,예체능,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,의약,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,인문,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,자연,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2016,전체,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,공학,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,교육,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,사회,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,예체능,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,의약,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,인문,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,자연,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2017,전체,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,공학,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,교육,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,사회,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,예체능,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,의약,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,인문,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,자연,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2018,전체,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,공학,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,교육,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,사회,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,예체능,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,의약,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,인문,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,자연,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2019,전체,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2007,남자,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2007,여자,98.5,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2007,전체,99.10000000000001,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2008,남자,98.60000000000001,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2008,여자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2008,전체,98.3,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2009,남자,98.89999999999999,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2009,여자,98.8,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2009,전체,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2010,남자,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2010,여자,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2010,전체,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2011,남자,98.8,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2011,여자,98.9,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2011,전체,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2012,남자,98.9,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2012,여자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2012,전체,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2013,남자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2013,여자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2013,전체,99.0,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2014,남자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2014,여자,98.6,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2014,전체,98.89999999999999,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2015,남자,98.7,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2015,여자,99.10000000000001,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2015,전체,98.5,PASS
