year,major,전체,취업자,실업자,비경활,employment_rate_pct,unemployment_rate_labor_force_pct,inactive_rate_pct,economic_activity_rate_pct,monthly_income_10k_krw,weekly_hours,firm_300plus_share_pct,firm_1000plus_share_pct,regular_employee_share_pct,temporary_daily_share_pct,private_company_share_pct,public_education_research_share_pct,manufacturing_share_pct,professional_science_tech_share_pct,education_service_share_pct,health_welfare_share_pct,information_communication_share_pct,research_engineering_job_share_pct,business_finance_job_share_pct,health_medical_job_share_pct,education_law_social_public_job_share_pct,arts_design_sports_job_share_pct
2012,자연,50343.0,34922.0,3389.0,12031.0,69.36813459666686,8.846023335334499,23.898059313112054,76.09995431341001,193.2,45.1,21.7,11.4,75.5,19.5,72.7,19.7,20.7,7.7,16.8,3.6,3.2,,,,,
2013,공학,115915.0,88373.0,8189.0,19351.0,76.23948583013414,8.480561711646404,16.69412931889747,83.30414527886813,234.9,47.9,31.0,19.4,88.5,9.200000000000001,79.3,14.5,36.1,11.1,6.7,0.7,12.5,,,,,
2013,교육,29851.0,22776.0,946.0,6127.0,76.2989514589126,3.987859371047972,20.525275535157952,79.46802452179156,194.3,41.8,5.3999999999999995,2.8,87.9,10.3,41.5,53.699999999999996,0.8,0.8,66.4,20.6,1.9,,,,,
2013,사회,143221.0,104897.0,11824.0,26498.0,73.2413542706726,10.130139392225907,18.501476738746415,81.49712681799457,208.1,45.1,20.7,9.9,82.8,12.0,68.7,18.2,15.6,6.7,7.9,14.2,5.5,,,,,
2013,예체능,65274.0,47616.0,5705.0,11952.0,72.94788123908448,10.699349224508167,18.310506480375036,81.68796151607071,155.7,41.3,9.4,4.2,69.3,21.2,76.4,12.1,11.2,9.3,19.9,4.3,8.6,,,,,
2013,의약,43220.0,35908.0,2225.0,5086.0,83.08190652475706,5.834841213646973,11.767700138824619,88.22998611753817,213.4,47.9,31.0,17.5,92.5,6.1,65.3,12.5,5.6,1.2,3.3,77.6,0.7,,,,,
2013,인문,44586.0,29199.0,4603.0,10782.0,65.48916700309513,13.617537423821075,24.182478805006056,75.81303548198987,194.4,42.4,23.0,12.8,78.3,17.3,65.6,19.2,14.7,6.0,19.5,3.9,6.6,,,,,
2013,자연,49698.0,33561.0,3062.0,13074.0,67.52988047808765,8.36086612238211,26.306893637570926,73.6910942090225,196.5,45.6,18.0,8.8,79.3,16.4,65.9,25.0,19.3,7.6,15.6,4.4,3.6,,,,,
2014,공학,115589.0,88600.0,7879.0,19109.0,76.65089238595368,8.166544014759689,16.531849916514545,83.46728494925988,226.9,46.8,29.9,17.8,84.5,13.0,81.2,13.799999999999999,35.1,10.4,7.5,0.9,11.6,,,,,
2014,교육,29609.0,23160.0,992.0,5455.0,78.21946029923335,4.1073203047366675,18.423452328683844,81.56979296835422,199.3,41.8,6.4,2.8,80.8,16.0,50.6,45.5,1.2,0.4,66.6,18.0,1.5,,,,,
2014,사회,141297.0,104755.0,12456.0,24085.0,74.13816287677729,10.62698893448567,17.04565560486068,82.95363666602971,209.0,44.7,21.4,10.7,79.7,15.9,74.1,16.599999999999998,16.3,6.7,8.5,12.1,5.4,,,,,
2014,예체능,66350.0,49373.0,4731.0,12245.0,74.41296156744536,8.744270294248114,18.455162019593065,81.54333082140167,165.8,41.4,9.5,5.0,64.8,24.3,80.9,10.3,12.4,9.8,18.9,4.2,8.0,,,,,
