topic_id,topic_name,year,rows
GOMS_022,성별 월평균 근로소득,2007,3
GOMS_022,성별 월평균 근로소득,2008,3
GOMS_022,성별 월평균 근로소득,2009,3
GOMS_022,성별 월평균 근로소득,2010,3
GOMS_022,성별 월평균 근로소득,2011,3
GOMS_022,성별 월평균 근로소득,2012,3
GOMS_022,성별 월평균 근로소득,2013,3
GOMS_022,성별 월평균 근로소득,2014,3
GOMS_022,성별 월평균 근로소득,2015,3
GOMS_022,성별 월평균 근로소득,2016,3
GOMS_022,성별 월평균 근로소득,2017,3
GOMS_022,성별 월평균 근로소득,2018,3
GOMS_022,성별 월평균 근로소득,2019,3
GOMS_023,학교유형별 월평균 근로소득,2007,4
GOMS_023,학교유형별 월평균 근로소득,2008,4
GOMS_023,학교유형별 월평균 근로소득,2009,4
GOMS_023,학교유형별 월평균 근로소득,2010,4
GOMS_023,학교유형별 월평균 근로소득,2011,4
GOMS_023,학교유형별 월평균 근로소득,2012,4
GOMS_023,학교유형별 월평균 근로소득,2013,4
GOMS_023,학교유형별 월평균 근로소득,2014,4
GOMS_023,학교유형별 월평균 근로소득,2015,4
GOMS_023,학교유형별 월평균 근로소득,2016,4
GOMS_023,학교유형별 월평균 근로소득,2017,4
GOMS_023,학교유형별 월평균 근로소득,2018,4
GOMS_023,학교유형별 월평균 근로소득,2019,4
GOMS_024,전공계열별 월평균 근로소득,2007,8
GOMS_024,전공계열별 월평균 근로소득,2008,8
GOMS_024,전공계열별 월평균 근로소득,2009,8
GOMS_024,전공계열별 월평균 근로소득,2010,8
GOMS_024,전공계열별 월평균 근로소득,2011,8
GOMS_024,전공계열별 월평균 근로소득,2012,8
GOMS_024,전공계열별 월평균 근로소득,2013,8
GOMS_024,전공계열별 월평균 근로소득,2014,8
GOMS_024,전공계열별 월평균 근로소득,2015,8
GOMS_024,전공계열별 월평균 근로소득,2016,8
GOMS_024,전공계열별 월평균 근로소득,2017,8
GOMS_024,전공계열별 월평균 근로소득,2018,8
GOMS_024,전공계열별 월평균 근로소득,2019,8
GOMS_025,산업별 월평균 근로소득,2007,22
GOMS_025,산업별 월평균 근로소득,2008,22
GOMS_025,산업별 월평균 근로소득,2009,22
GOMS_025,산업별 월평균 근로소득,2010,22
GOMS_025,산업별 월평균 근로소득,2011,22
GOMS_025,산업별 월평균 근로소득,2012,22
GOMS_025,산업별 월평균 근로소득,2013,22
GOMS_025,산업별 월평균 근로소득,2014,22
GOMS_025,산업별 월평균 근로소득,2015,22
GOMS_025,산업별 월평균 근로소득,2016,22
GOMS_025,산업별 월평균 근로소득,2017,22
GOMS_025,산업별 월평균 근로소득,2018,22
GOMS_025,산업별 월평균 근로소득,2019,22
GOMS_026,직업별 월평균 근로소득(~2016),2007,25
GOMS_026,직업별 월평균 근로소득(~2016),2008,25
GOMS_026,직업별 월평균 근로소득(~2016),2009,25
GOMS_026,직업별 월평균 근로소득(~2016),2010,25
GOMS_026,직업별 월평균 근로소득(~2016),2011,25
GOMS_026,직업별 월평균 근로소득(~2016),2012,25
GOMS_026,직업별 월평균 근로소득(~2016),2013,25
GOMS_026,직업별 월평균 근로소득(~2016),2014,25
GOMS_026,직업별 월평균 근로소득(~2016),2015,25
GOMS_026,직업별 월평균 근로소득(~2016),2016,25
GOMS_027,직업별 월평균 근로소득(2017~),2017,11
GOMS_027,직업별 월평균 근로소득(2017~),2018,11
GOMS_027,직업별 월평균 근로소득(2017~),2019,11
GOMS_028,사업체 규모별 월평균 근로소득,2007,10
GOMS_028,사업체 규모별 월평균 근로소득,2008,10
GOMS_028,사업체 규모별 월평균 근로소득,2009,10
GOMS_028,사업체 규모별 월평균 근로소득,2010,10
GOMS_028,사업체 규모별 월평균 근로소득,2011,10
GOMS_028,사업체 규모별 월평균 근로소득,2012,10
GOMS_028,사업체 규모별 월평균 근로소득,2013,10
GOMS_028,사업체 규모별 월평균 근로소득,2014,10
GOMS_028,사업체 규모별 월평균 근로소득,2015,10
GOMS_028,사업체 규모별 월평균 근로소득,2016,10
GOMS_028,사업체 규모별 월평균 근로소득,2017,10
GOMS_028,사업체 규모별 월평균 근로소득,2018,10
GOMS_028,사업체 규모별 월평균 근로소득,2019,10
GOMS_029,사업체 유형별 월평균 근로소득,2007,10
GOMS_029,사업체 유형별 월평균 근로소득,2008,10
GOMS_029,사업체 유형별 월평균 근로소득,2009,10
GOMS_029,사업체 유형별 월평균 근로소득,2010,10
GOMS_029,사업체 유형별 월평균 근로소득,2011,10
GOMS_029,사업체 유형별 월평균 근로소득,2012,10
GOMS_029,사업체 유형별 월평균 근로소득,2013,10
GOMS_029,사업체 유형별 월평균 근로소득,2014,10
GOMS_029,사업체 유형별 월평균 근로소득,2015,10
GOMS_029,사업체 유형별 월평균 근로소득,2016,10
GOMS_029,사업체 유형별 월평균 근로소득,2017,10
GOMS_029,사업체 유형별 월평균 근로소득,2018,10
GOMS_029,사업체 유형별 월평균 근로소득,2019,10
GOMS_030,종사상지위별 월평균 근로소득,2007,7
GOMS_030,종사상지위별 월평균 근로소득,2008,7
GOMS_030,종사상지위별 월평균 근로소득,2009,7
GOMS_030,종사상지위별 월평균 근로소득,2010,7
GOMS_030,종사상지위별 월평균 근로소득,2011,7
GOMS_030,종사상지위별 월평균 근로소득,2012,7
GOMS_030,종사상지위별 월평균 근로소득,2013,7
GOMS_030,종사상지위별 월평균 근로소득,2014,7
GOMS_030,종사상지위별 월평균 근로소득,2015,7
GOMS_030,종사상지위별 월평균 근로소득,2016,7
GOMS_030,종사상지위별 월평균 근로소득,2017,7
GOMS_030,종사상지위별 월평균 근로소득,2018,7
GOMS_030,종사상지위별 월평균 근로소득,2019,7
GOMS_031,성별 주당 평균 근로시간,2007,3
GOMS_031,성별 주당 평균 근로시간,2008,3
GOMS_031,성별 주당 평균 근로시간,2009,3
GOMS_031,성별 주당 평균 근로시간,2010,3
GOMS_031,성별 주당 평균 근로시간,2011,3
GOMS_031,성별 주당 평균 근로시간,2012,3
GOMS_031,성별 주당 평균 근로시간,2013,3
GOMS_031,성별 주당 평균 근로시간,2014,3
GOMS_031,성별 주당 평균 근로시간,2015,3
GOMS_031,성별 주당 평균 근로시간,2016,3
GOMS_031,성별 주당 평균 근로시간,2017,3
GOMS_031,성별 주당 평균 근로시간,2018,3
GOMS_031,성별 주당 평균 근로시간,2019,3
GOMS_032,학교유형별 주당 평균 근로시간,2007,4
GOMS_032,학교유형별 주당 평균 근로시간,2008,4
GOMS_032,학교유형별 주당 평균 근로시간,2009,4
GOMS_032,학교유형별 주당 평균 근로시간,2010,4
GOMS_032,학교유형별 주당 평균 근로시간,2011,4
GOMS_032,학교유형별 주당 평균 근로시간,2012,4
GOMS_032,학교유형별 주당 평균 근로시간,2013,4
GOMS_032,학교유형별 주당 평균 근로시간,2014,4
GOMS_032,학교유형별 주당 평균 근로시간,2015,4
GOMS_032,학교유형별 주당 평균 근로시간,2016,4
GOMS_032,학교유형별 주당 평균 근로시간,2017,4
GOMS_032,학교유형별 주당 평균 근로시간,2018,4
GOMS_032,학교유형별 주당 평균 근로시간,2019,4
GOMS_033,전공계열별 주당 평균 근로시간,2007,8
GOMS_033,전공계열별 주당 평균 근로시간,2008,8
GOMS_033,전공계열별 주당 평균 근로시간,2009,8
GOMS_033,전공계열별 주당 평균 근로시간,2010,8
