column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
휴학생_석사_여,0,13657,15727.0,0.3626247854009029,1.648552539910278,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,39.0
재적생_박사_계,0,10596,15727.0,5.373752145990971,20.239974343355247,0.0,0.0,0.0,0.0,0.0,3.0,25.0,81.0,782.0
재적생_박사_남,0,11275,15727.0,2.974629617854645,13.500549626395705,0.0,0.0,0.0,0.0,0.0,1.0,13.0,50.0,678.0
재적생_박사_여,0,11439,15727.0,2.399122528136326,8.702334088419835,0.0,0.0,0.0,0.0,0.0,1.0,13.0,37.0,258.0
재학생_박사_계,0,10749,15727.0,4.759076746995612,18.304832820965135,0.0,0.0,0.0,0.0,0.0,3.0,22.0,73.0,733.0
재학생_박사_남,0,11446,15727.0,2.6542888026960005,12.441810044177446,0.0,0.0,0.0,0.0,0.0,1.0,12.0,44.0,638.0
재학생_박사_여,0,11593,15727.0,2.1047879442996122,7.628292741535656,0.0,0.0,0.0,0.0,0.0,1.0,11.0,33.0,230.0
휴학생_박사_계,0,12923,15727.0,0.6146753989953583,3.0059601326927403,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,176.0
휴학생_박사_남,0,13767,15727.0,0.3203408151586444,1.7650017045297508,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,95.0
휴학생_박사_여,0,13941,15727.0,0.29433458383671396,1.5512878637060366,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,81.0
외국인유학생_총계_계,0,9792,15727.0,4.721688815412984,21.747441610003406,0.0,0.0,0.0,0.0,0.0,2.0,21.0,77.0,712.0
외국인유학생_총계_남,0,11438,15727.0,1.9863928276212883,10.523808536178194,0.0,0.0,0.0,0.0,0.0,1.0,8.0,33.0,411.0
외국인유학생_총계_여,0,10946,15727.0,2.735295987791696,13.14180535627445,0.0,0.0,0.0,0.0,0.0,1.0,12.0,49.0,446.0
외국인유학생_학사_계,0,13445,15727.0,2.173396070452089,17.035561679975498,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,712.0
외국인유학생_학사_남,0,14109,15727.0,0.929802250906085,8.664755736185551,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.73999999999978,411.0
외국인유학생_학사_여,0,13933,15727.0,1.2435938195460037,10.07868001895154,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.73999999999978,321.0
외국인유학생_석사_계,0,12899,15727.0,1.4481464996502829,8.994153086379088,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,412.0
외국인유학생_석사_남,0,13870,15727.0,0.5323965155465123,3.8669632537375693,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,196.0
외국인유학생_석사_여,0,13446,15727.0,0.9157499841037706,5.936966841080822,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.73999999999978,295.0
외국인유학생_박사_계,0,13249,15727.0,1.1001462453106123,7.586012239011072,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,442.0
외국인유학생_박사_남,0,13937,15727.0,0.5241940611686908,3.577635395019329,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,184.0
외국인유학생_박사_여,0,13864,15727.0,0.5759521841419215,4.2787210966978355,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,258.0
졸업자_전체,0,4643,15727.0,14.74960259426464,26.249199445186445,0.0,0.0,0.0,0.0,4.0,20.0,58.0,117.0,594.0
졸업자_남,0,6258,15727.0,7.244929102816812,15.595990879735421,0.0,0.0,0.0,0.0,1.0,8.0,31.0,72.0,353.0
졸업자_전체_여,0,6327,15727.0,7.504673491447829,15.0216288307605,0.0,0.0,0.0,0.0,2.0,9.0,33.0,66.73999999999978,310.0
졸업자_석사_계,0,10710,15727.0,2.8976918674890317,10.267323468674906,0.0,0.0,0.0,0.0,0.0,2.0,15.0,41.0,522.0
졸업자_석사_남,0,11874,15727.0,1.3761683728619571,6.177689094456338,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.73999999999978,322.0
졸업자_석사_여,0,11637,15727.0,1.5215234946270744,5.296778325726675,0.0,0.0,0.0,0.0,0.0,1.0,8.0,23.0,200.0
