topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2010,mean_income_or_hours,203.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2010,mean_income_or_hours,183.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2010,mean_income_or_hours,220.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2010,mean_income_or_hours,184.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2010,mean_income_or_hours,206.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2010,mean_income_or_hours,163.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2011,mean_income_or_hours,206.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2011,mean_income_or_hours,198.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2011,mean_income_or_hours,212.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2011,mean_income_or_hours,189.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2011,mean_income_or_hours,227.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2011,mean_income_or_hours,194.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2011,mean_income_or_hours,219.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2011,mean_income_or_hours,167.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2012,mean_income_or_hours,202.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2012,mean_income_or_hours,186.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2012,mean_income_or_hours,208.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2012,mean_income_or_hours,191.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2012,mean_income_or_hours,227.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2012,mean_income_or_hours,193.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2012,mean_income_or_hours,217.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2012,mean_income_or_hours,161.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2013,mean_income_or_hours,204.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2013,mean_income_or_hours,194.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2013,mean_income_or_hours,208.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2013,mean_income_or_hours,194.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2013,mean_income_or_hours,234.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2013,mean_income_or_hours,196.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2013,mean_income_or_hours,213.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2013,mean_income_or_hours,155.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2014,mean_income_or_hours,205.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2014,mean_income_or_hours,192.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2014,mean_income_or_hours,209.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2014,mean_income_or_hours,199.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2014,mean_income_or_hours,226.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2014,mean_income_or_hours,196.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2014,mean_income_or_hours,219.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2014,mean_income_or_hours,165.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2015,mean_income_or_hours,207.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2015,mean_income_or_hours,187.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2015,mean_income_or_hours,208.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2015,mean_income_or_hours,202.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2015,mean_income_or_hours,232.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2015,mean_income_or_hours,194.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2015,mean_income_or_hours,220.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2015,mean_income_or_hours,172.0
