outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag,school_name_raw,school_name_std,campus_name_raw,campus_name_std,campus_seq,campus_branch,dept_name_raw,dept_name_std,dept_field_raw,hc_headcount_row_id,hc_school_name_raw,hc_school_name_std,hc_campus_name_raw,hc_campus_name_std,hc_campus_seq,hc_campus_branch,hc_dept_name_raw,hc_dept_name_std,hc_major_group_raw,hc_major_group_7,school_std_match,campus_scope_ok,dept_alt_contains_hc,exact_normalized_validation,sample_group
OC2024_06204,HC2024_09659,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,앙트러프러너십전공,True,숙명여자대학교,숙명여자대학교,,unknown,,,앙트러프러너십전공,앙트러프러너십전공,앙트러프러너십,HC2024_09659,숙명여자대학교,숙명여자대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,앙트러프러너십전공,앙트러프러너십전공,사회계열,SOC,True,True,True,True,exact_normalized
OC2024_04008,HC2024_13781,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,인공지능전공,True,동명대학교,동명대학교,,unknown,,,인공지능전공,인공지능전공,인공지능,HC2024_13781,동명대학교,동명대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,인공지능전공,인공지능전공,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_00934,HC2024_00701,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,국어교육과,True,경북대학교,경북대학교,,unknown,,,국어교육과,국어교육과,국어교육과,HC2024_00701,경북대학교,경북대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,국어교육과,국어교육과,교육계열,EDU,True,True,True,True,exact_normalized
OC2024_06481,HC2024_10056,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,웰빙체육학부,True,신라대학교,신라대학교,,unknown,,,웰빙체육학부,웰빙체육학부,웰빙체육,HC2024_10056,신라대학교,신라대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,웰빙체육학부,웰빙체육학부,예체능계열,ART,True,True,True,True,exact_normalized
OC2024_05925,HC2024_09512,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,영화웹툰애니메이션학과,True,세명대학교,세명대학교,,unknown,,,영화웹툰애니메이션학과,영화웹툰애니메이션학과,영화웹툰애니메이션,HC2024_09512,세명대학교,세명대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,영화웹툰애니메이션학과,영화웹툰애니메이션학과,예체능계열,ART,True,True,True,True,exact_normalized
OC2024_09173,HC2024_04185,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,독어교육과,True,한국교원대학교,한국교원대학교,,unknown,,,독어교육과,독어교육과,독어교육과,HC2024_04185,한국교원대학교,한국교원대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,독어교육과,독어교육과,교육계열,EDU,True,True,True,True,exact_normalized
OC2024_01117,HC2024_01083,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,사회복지학전공,True,경상국립대학교,경상국립대학교,,unknown,,,사회복지학전공,사회복지학전공,사회복지학,HC2024_01083,경상국립대학교,경상국립대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,사회복지학전공,사회복지학전공,사회계열,SOC,True,True,True,True,exact_normalized
OC2024_01035,HC2024_00830,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,자동차공학부,True,경북대학교,경북대학교,,unknown,,,자동차공학부,자동차공학부,자동차공,HC2024_00830,경북대학교,경북대학교,본교(제3캠퍼스),본교_제3캠퍼스,제3캠퍼스,본교,자동차공학부,자동차공학부,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_09541,HC2024_12444,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,호텔관광경영학부,True,한라대학교,한라대학교,,unknown,,,호텔관광경영학부,호텔관광경영학부,호텔관광경영,HC2024_12444,한라대학교,한라대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,호텔관광경영학부,호텔관광경영학부,사회계열,SOC,True,True,True,True,exact_normalized
OC2024_01836,HC2024_15456,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,지구환경공학부,True,광주과학기술원,광주과학기술원,,unknown,,,지구환경공학부,지구환경공학부,지구환경공,HC2024_15456,광주과학기술원,광주과학기술원,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,지구환경공학부,지구환경공학부,자연계열,NAT,True,True,True,True,exact_normalized
OC2024_09619,HC2024_12675,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,시각디자인학과,True,한서대학교,한서대학교,,unknown,,,시각디자인학과,시각디자인학과,시각디자인,HC2024_12675,한서대학교,한서대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,시각디자인학과,시각디자인학과,예체능계열,ART,True,True,True,True,exact_normalized
