outcome_row_id,candidate_headcount_row_ids,candidate_preview,match_method,unmatched_reason,match_evidence,candidate_count,reviewer,review_timestamp,selection,selection_rationale,confidence
OC2024_00512,HC2_2024_07519|HC2_2024_07613,산업디자인학과 | 산업디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00517,HC2_2024_07503,수의학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00521,HC2_2024_07496,시스템생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00534,HC2_2024_07495,의생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00538,HC2_2024_07499,줄기세포재생공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00545,HC2_2024_07481|HC2_2024_07482|HC2_2024_07573,컴퓨터공학과 | 컴퓨터공학부 | 컴퓨터공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00562,HC2_2024_07631|HC2_2024_07633,골프산업학과 | 골프산업전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00572,HC2_2024_07535|HC2_2024_07536,동화?한국어문화전공 | 동화?한국어문화학과,manual_pending,multiple_candidates,"school+campus+suffix-reduced exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00573,HC2_2024_07530|HC2_2024_07533,동화미디어콘텐츠학과 | 동화미디어콘텐츠전공,manual_pending,multiple_candidates,"school+campus+suffix-reduced exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00576,HC2_2024_07531,미디어문예창작전공 트랙,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00577,HC2_2024_07528|HC2_2024_07529,미디어콘텐츠전공 | 미디어콘텐츠학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00582,HC2_2024_07595|HC2_2024_07628,뷰티화장품학과 | 뷰티화장품전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00584,HC2_2024_07612|HC2_2024_07613,산업디자인전공 | 산업디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00585,HC2_2024_07583,생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00586,HC2_2024_07584,생명공학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00591,HC2_2024_07629|HC2_2024_07630,스포츠과학부(생활체육학전공) | 스포츠과학부(골프지도전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00593,HC2_2024_07614|HC2_2024_07615,시각영상디자인전공 | 시각영상디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00601,HC2_2024_07620|HC2_2024_07621,실내디자인전공 | 실내디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00602,HC2_2024_07594,에너지소재학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00606,HC2_2024_07539,영어문화학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00607,HC2_2024_07540,영어문화학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00622,HC2_2024_07617|HC2_2024_07618,패션디자인전공 | 패션디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00623,HC2_2024_07534,한국어문콘텐츠전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00624,HC2_2024_07558|HC2_2024_07562|HC2_2024_07564,행정복지학부(사회복지학전공) | 행정복지학부 | 행정복지학부(행정학전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00626,HC2_2024_07866|HC2_2024_07867|HC2_2024_07868|HC2_2024_07869|HC2_2024_07870|HC2_2024_07871|HC2_2024_07872|HC2_2024_07873|HC2_2024_07874|HC2_2024_07875,중국언어문화학과 | 휴머니티칼리지 | 경영학부 | 호텔관광학부 | 글로벌경영학과,unmatched,department_formatting_or_source_coverage_mismatch,no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope,71,,,,,
OC2024_00639,HC2_2024_07895|HC2_2024_07896,디지털콘텐츠학과 | 디지털콘텐츠전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00648,HC2_2024_07910|HC2_2024_07911,시각디자인전공 | 시각디자인학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00649,HC2_2024_07908,심리상담치료학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00656,HC2_2024_07905|HC2_2024_07906,의약바이오학부 | 의약바이오학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00658,HC2_2024_07904,재난안전소방학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00667,HC2_2024_07919,안경광학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00670,HC2_2024_07931|HC2_2024_07932,의공학과 | 의공학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00678,HC2_2024_07922,제약생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00684,HC2_2024_07996|HC2_2024_07997,경영학과 | 경영학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00686,HC2_2024_08003|HC2_2024_08111,경제학부 | 경제학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
