시도,학교명,rows,dept_codes,degree_courses,total_capacity,total_applicants,total_admitted,total_enrolled,total_foreign_students,total_graduates,full_time_faculty
광주,전남대학교교육대학원,24,24,1,0,289,114,397,0,140,0
서울,백석예술대학교,24,24,1,3000,25040,3279,9593,4,2811,160
서울,한성대학교일반대학원,24,24,1,0,179,124,355,45,92,0
인천,청운대학교 대학원,24,24,1,0,368,265,459,264,71,0
충남,상명대학교 대학원,24,24,1,0,111,75,151,42,76,0
충북,건국대학교 일반대학원,24,24,1,0,168,131,234,26,59,0
충북,세명대학교일반대학원,24,24,1,0,157,143,334,147,92,2
강원,강원대학교교육대학원,23,23,1,0,171,71,307,0,72,1
경남,가야대학교,23,23,1,440,2587,370,2012,12,470,71
경북,포항공과대학교 대학원,23,23,1,0,1370,618,2045,87,506,34
대전,건양사이버대학교,23,23,1,1068,1863,1261,4119,16,1090,18
대전,국립한밭대학교 산업대학원,23,23,1,0,101,79,144,4,41,0
인천,청운대학교,23,23,1,352,3521,516,3436,271,611,63
경기,수원대학교일반대학원,22,22,1,0,141,120,269,26,75,1
경기,신한대학교 일반대학원,22,22,1,0,526,443,702,422,116,4
경북,경북대학교 일반대학원,22,22,1,0,142,92,204,35,68,0
경북,경북도립대학교,22,22,1,366,625,215,903,2,284,27
경북,동국대학교 일반대학원,22,22,1,0,137,107,229,17,51,0
광주,조선대학교교육대학원,22,22,1,0,153,84,254,0,81,2
대구,대구공업대학교,22,22,1,530,1678,654,1322,26,621,34
대전,건양대학교,22,22,1,929,8870,991,4281,11,802,250
부산,국립부경대학교 산업대학원,22,22,1,0,146,85,213,2,77,0
부산,국립한국해양대학교해사산업대학원,22,22,1,0,120,98,240,0,70,0
서울,서울여자대학교 대학원,22,22,1,0,203,104,233,3,82,0
전남,국립목포해양대학교,22,22,1,695,3529,739,2997,6,705,127
충북,국립한국교통대학교 글로벌융합대학원,22,22,1,0,68,61,134,1,47,0
충북,충북대학교 교육대학원,22,22,1,0,176,73,231,4,74,0
경남,부산대학교,22,21,1,738,7130,781,4149,22,615,433
강원,상지영서대학교,21,21,1,0,0,0,271,0,11,0
경남,경남과학기술대학교 대학원,21,21,1,0,0,0,10,0,48,0
경남,경상국립대학교 융합과학기술대학원,21,21,1,0,80,65,128,0,60,0
경남,김해대학교,21,21,1,497,2566,508,1632,1,450,52
경남,부산대학교 일반대학원,21,21,1,0,443,337,735,39,194,30
경북,한국복지사이버대학,21,21,1,1000,1867,1213,2739,15,990,15
부산,동아대학교 교육대학원,21,21,1,0,268,127,362,0,122,12
서울,경기대학교 일반대학원,21,21,1,0,182,118,302,69,87,5
서울,경희대학교교육대학원,21,21,1,0,716,264,660,9,228,10
서울,동덕여자대학교일반대학원,21,21,1,0,184,103,190,21,42,0
서울,연세대학교 교육대학원,21,21,1,0,1572,400,1228,1,341,6
서울,한국방송통신대학교 대학원,21,21,1,0,2061,824,2791,22,537,2
울산,울산과학기술원 일반대학원,21,21,1,0,1935,637,2222,217,412,40
경기,서울예술대학교,20,20,1,694,24186,1162,4122,32,1078,83
경기,을지대학교 일반대학원,20,20,1,0,136,114,253,15,90,0
경남,경남도립남해대학,20,20,1,350,1154,389,1059,16,292,20
경북,대구사이버대학교,20,20,1,1500,2041,1660,5821,33,1207,25
광주,광주보건대학교,20,20,1,1324,6612,1445,4491,2,1220,105
서울,한국폴리텍대학 서울정수캠퍼스,20,20,1,555,1491,595,1559,7,492,68
인천,인하대학교 공학대학원,20,20,1,0,214,146,353,3,130,0
강원,송곡대학교,19,19,1,200,1196,253,959,252,185,31
경기,세계사이버대학,19,19,1,1300,1038,722,2131,3,654,10
대전,목원대학교일반대학원,19,19,1,0,201,201,557,315,213,2
대전,한국폴리텍 IV 대학 대전캠퍼스,19,19,1,335,648,313,955,5,355,49
부산,국립부경대학교 교육대학원,19,19,1,0,103,63,233,1,112,0
부산,부산가톨릭대학교대학원,19,19,1,0,170,137,278,33,74,0
서울,디지털서울문화예술대학교,19,19,1,990,1239,691,3593,27,814,17
서울,삼육대학교 대학원,19,19,1,0,268,159,674,275,194,2
서울,서울한영대학교,19,19,1,180,1038,197,825,0,148,30
세종,홍익대학교 일반대학원,19,19,1,0,90,52,123,26,49,4
전남,동아보건대학교,19,19,1,380,1076,351,1014,0,397,38
전북,원광디지털대학교,19,19,1,1500,2773,1623,7478,60,1513,26
충남,한국기술교육대학교,19,19,1,836,6963,980,5872,20,787,171
충북,충북도립대학교,19,18,1,400,1241,357,942,7,332,28
경기,국립한국교통대학교,18,18,1,211,1853,235,1464,0,211,32
경기,차의과학대학교,18,18,1,504,3185,531,2597,1,543,85
경북,서라벌대학교,18,18,1,0,0,0,464,10,182,0
광주,한국폴리텍V대학 광주캠퍼스,18,18,1,340,422,398,1227,1,397,53
