major_group_7,outcome,model_family,old_n,strict_n,old_ame_10pp,strict_ame_10pp,absolute_change,sign_change,old_ci_low,old_ci_high,strict_ci_low,strict_ci_high,ci_overlap,branch,control_set,grade_signal
MED,GRAD_SCHOOL_PROGRESSION,fractional_logit,374,374,0.0001047470562034,0.00010474705620348141,8.141003062650531e-17,False,-0.0013522655176592,0.0133118883375942,-0.0013522655176592777,0.013311888337594209,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
NAT,GRAD_SCHOOL_PROGRESSION,fractional_logit,583,583,0.0427491112956922,0.04274911129569228,8.326672684688674e-17,False,0.0169311266079702,0.0754964425126314,0.0169311266079702,0.07549644251263148,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
SOC,GRAD_SCHOOL_PROGRESSION,fractional_logit,848,848,0.0132172155501259,0.013217215550125932,3.122502256758253e-17,False,0.0059357014043748,0.0261560831013314,0.005935701404374877,0.026156083101331423,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ART,GRAD_SCHOOL_PROGRESSION,ols_cluster,646,646,0.007413263952270412,0.007413263952270412,0.0,False,0.000611959986420009,0.014214567918120813,0.0006119599864200098,0.014214567918120813,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,ols_cluster,602,602,0.010269107241674005,0.010269107241674003,1.734723475976807e-18,False,0.003027394211642424,0.01751082027170558,0.0030273942116424246,0.01751082027170558,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,ols_cluster,911,911,0.045860535209276486,0.045860535209276486,0.0,False,0.024732867427324036,0.06698820299122893,0.024732867427324036,0.06698820299122893,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
HUM,GRAD_SCHOOL_PROGRESSION,ols_cluster,535,535,0.01938421221395536,0.019384212213955358,3.469446951953614e-18,False,0.00808737176772166,0.030681052660189057,0.00808737176772166,0.030681052660189057,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
MED,GRAD_SCHOOL_PROGRESSION,ols_cluster,374,374,0.004035508249349311,0.004035508249349311,0.0,False,-0.005171596000547593,0.013242612499246213,-0.005171596000547593,0.013242612499246213,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
NAT,GRAD_SCHOOL_PROGRESSION,ols_cluster,583,583,0.042958563808758184,0.042958563808758184,0.0,False,0.021017498412496685,0.06489962920501968,0.021017498412496685,0.06489962920501968,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
SOC,GRAD_SCHOOL_PROGRESSION,ols_cluster,848,848,0.015078782187645568,0.015078782187645568,0.0,False,0.0077210490662281625,0.02243651530906297,0.0077210490662281625,0.022436515309062974,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ART,HEALTH_EMPLOYMENT,fractional_logit,646,646,-0.0023047482778354,-0.0023047482778354076,7.37257477290143e-18,False,-0.0132628827726815,0.009929057420718,-0.013262882772681592,0.009929057420718021,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
EDU,HEALTH_EMPLOYMENT,fractional_logit,602,602,0.0157138918472372,0.015713891847237232,3.122502256758253e-17,False,0.0001926430855014,0.0312418279378933,0.00019264308550143245,0.031241827937893377,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ENG,HEALTH_EMPLOYMENT,fractional_logit,911,911,0.021800672740062,0.021800672740062067,6.591949208711867e-17,False,0.0105379443135444,0.0313421761246028,0.010537944313544401,0.031342176124602855,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
HUM,HEALTH_EMPLOYMENT,fractional_logit,535,535,0.0212748494019883,0.02127484940198839,9.020562075079397e-17,False,0.0101217742340877,0.0318592475681134,0.01012177423408772,0.03185924756811341,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
MED,HEALTH_EMPLOYMENT,fractional_logit,374,374,-0.005532714750023,-0.005532714750023005,5.204170427930421e-18,False,-0.0307444839154296,0.011637399276815,-0.030744483915429662,0.011637399276815062,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
NAT,HEALTH_EMPLOYMENT,fractional_logit,583,583,-0.0028656976613101,-0.0028656976613101056,5.637851296924623e-18,False,-0.016831246112949,0.0111735485070206,-0.01683124611294909,0.011173548507020601,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
SOC,HEALTH_EMPLOYMENT,fractional_logit,848,848,0.0051701839439872,0.005170183943987299,9.8879238130678e-17,False,-0.0047349080180288,0.0145917334165625,-0.004734908018028829,0.014591733416562504,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ART,HEALTH_EMPLOYMENT,ols_cluster,646,646,-0.002302651885942548,-0.0023026518859425487,8.673617379884035e-19,False,-0.014042416448666075,0.00943711267678098,-0.014042416448666077,0.009437112676780981,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
EDU,HEALTH_EMPLOYMENT,ols_cluster,602,602,0.015633851593666107,0.015633851593666107,0.0,False,5.4244374224162994e-05,0.03121345881310805,5.424437422416384e-05,0.031213458813108056,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ENG,HEALTH_EMPLOYMENT,ols_cluster,911,911,0.021591652790691307,0.021591652790691307,0.0,False,0.010124107692584651,0.033059197888797964,0.010124107692584651,0.033059197888797964,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
HUM,HEALTH_EMPLOYMENT,ols_cluster,535,535,0.02125432252033464,0.02125432252033464,0.0,False,0.01029164459309483,0.03221700044757445,0.01029164459309483,0.03221700044757445,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
MED,HEALTH_EMPLOYMENT,ols_cluster,374,374,-0.005456669552558211,-0.005456669552558211,0.0,False,-0.02650073061543746,0.015587391510321036,-0.02650073061543746,0.015587391510321036,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
NAT,HEALTH_EMPLOYMENT,ols_cluster,583,583,-0.0029283660408767546,-0.0029283660408767555,8.673617379884035e-19,False,-0.017192498934318623,0.011335766852565113,-0.017192498934318623,0.011335766852565113,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
SOC,HEALTH_EMPLOYMENT,ols_cluster,848,848,0.0055505954349711175,0.0055505954349711175,0.0,False,-0.004014226213692921,0.015115417083635157,-0.004014226213692921,0.015115417083635157,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
