grouping,group,column,missing_n,missing_pct,non_null_n
overall,ALL,goms_mapping_confidence,143,1.3962116774067566,10099
overall,ALL,goms_row_qa_status,143,1.3962116774067566,10099
overall,ALL,split,0,0.0,10242
overall,ALL,sample_P1_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P1_SELECTIVITY_READY,0,0.0,10242
overall,ALL,sample_P2_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P2_SELECTIVITY_READY,0,0.0,10242
overall,ALL,sample_P3_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P3_SELECTIVITY_READY,0,0.0,10242
overall,ALL,sample_P4_E_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P4_P_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P4_JOINT_STRUCTURE_READY,0,0.0,10242
overall,ALL,sample_P4_E_SELECTIVITY_READY,0,0.0,10242
overall,ALL,sample_P4_P_SELECTIVITY_READY,0,0.0,10242
overall,ALL,sample_P4_JOINT_SELECTIVITY_READY,0,0.0,10242
