column,registry_role,feature_block,measurement_level,actual_dtype,expected_dtype,nullable,non_null_n,missing_n,missing_pct,unique_n,min,p01,median,p99,max,example_values,coercion_failure_n,infinite_n,all_null,constant,near_constant,status
nonfulltime_faculty_n,count_or_denominator_candidate,DENOM,school_department,Int32,Int32,True,8561,1681,16.412809998047255,108,0.0,0.0,4.0,59.0,854.0,39|0|2|3|5,0,0,False,False,False,PASS
international_students_n,count_or_denominator_candidate,DENOM,school_department,Int32,Int32,True,8561,1681,16.412809998047255,184,0.0,0.0,0.0,133.79999999999927,712.0,0|10|1|21|4,0,0,False,False,False,PASS
female_students_n,count_or_denominator_candidate,DENOM,school_department,Int32,Int32,True,8561,1681,16.412809998047255,488,0.0,0.0,50.0,503.0,10211.0,557|3|6|75|66,0,0,False,False,False,PASS
masters_students_n,count_or_denominator_candidate,DENOM,school_department,Int32,Int32,True,8561,1681,16.412809998047255,1,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,WARN
doctoral_students_n,count_or_denominator_candidate,DENOM,school_department,Int32,Int32,True,8561,1681,16.412809998047255,1,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,WARN
competition_ratio,admission_selectivity_feature,Q,school_department,Float32,Float32,True,5257,4985,48.67213434876001,3947,0.0,0.48307693004608154,6.354838848114014,34.44572830200195,139.0270233154297,7.5806450843811035|8.631579399108887|6.4347825050354|0.7250000238418579|3.13043475151062,0,0,False,False,False,PASS
admission_yield_ratio,admission_selectivity_feature,Q,school_department,Float32,Float32,True,5257,4985,48.67213434876001,842,0.0,0.20000000298023224,1.0,1.1983031034469604,14.399999618530273,0.9892473220825195|0.9649122953414917|1.0|0.20000000298023224|0.5652173757553101,0,0,False,False,False,PASS
admit_per_applicant_ratio,admission_selectivity_feature,Q,school_department,Float32,Float32,True,5260,4982,48.64284319468854,3926,0.0,0.025589680299162865,0.15340669453144073,0.8160097002983093,1.3095238208770752,0.13049645721912384|0.11178861558437347|0.15540540218353271|0.27586206793785095|0.1805555522441864,0,0,False,False,False,PASS
leave_rate_pct,department_structure_feature,B,school_department,Float32,Float32,True,8441,1801,17.584456160906072,4284,0.0,0.0,23.188405990600586,76.74208068847656,100.0,12.530413627624512|20.0|25.0|0.0|23.809524536132812,0,0,False,False,False,PASS
female_student_share_pct,department_structure_feature,B,school_department,Float32,Float32,True,8441,1801,17.584456160906072,4857,0.0,0.0,41.2634391784668,100.0,100.0,67.76155853271484|12.0|12.5|30.0|23.809524536132812,0,0,False,False,False,PASS
international_student_share_pct,department_structure_feature,B,school_department,Float32,Float32,True,8441,1801,17.584456160906072,1927,0.0,0.0,0.0,96.28851318359375,100.0,0.0|40.0|12.5|3.3333332538604736|0.07656967639923096,0,0,False,False,False,PASS
student_faculty_ratio,department_structure_feature,B,school_department,Float32,Float32,True,6379,3863,37.71724272603007,3288,0.0,0.24388888478279114,13.454545021057129,123.0,1613.5,13.93220329284668|6.25|9.600000381469727|1.6666666269302368|35.0,0,0,False,False,False,PASS
fulltime_faculty_share_pct,department_structure_feature,B,school_department,Float32,Float32,True,6379,3863,37.71724272603007,613,0.0,0.0,42.85714340209961,100.0,100.0,33.8983039855957|100.0|60.0|50.0|77.77777862548828,0,0,False,False,False,PASS
log_enrolled_students,count_or_denominator_candidate,DENOM,school_department,Float32,Float32,True,8561,1681,16.412809998047255,836,,,,,,6.712956428527832|3.25809645652771|3.891820192337036|2.397895336151123|5.755742073059082,0,0,False,False,False,PASS
log_graduates,count_or_denominator_candidate,DENOM,school_department,Float32,Float32,True,8561,1681,16.412809998047255,246,,,,,,5.09375|2.70805025100708|2.944438934326172|2.5649492740631104|4.060442924499512,0,0,False,False,False,PASS
school_uid,identifier_or_label,K,department,str,str,False,10242,0,0.0,200,,,,,,SCH_4fcb5ca730cd|SCH_e46f0f22fdd7|SCH_f0a7062f14b7|SCH_11568cc95743|SCH_f11056a7ff4e,0,0,False,False,False,PASS
major_group_7,stratification_feature,S0,school_department,str,str,True,10099,143,1.3962116774067566,7,,,,,,MED|SOC|ART|NAT|EDU,0,0,False,False,False,PASS
major7_mapping_method,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,5,,,,,,inherited_headcount|exact_dictionary|keyword_rule|unknown|ambiguous,0,0,False,False,False,PASS
major7_mapping_confidence,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,4,,,,,,high|medium|unknown|low,0,0,False,False,False,PASS
major7_candidate_count,match_or_review_metadata,QUALITY,row_quality,int64,int64,False,10242,0,0.0,5,0.0,1.0,1.0,1.0,4.0,1|0|2|4|3,0,0,False,False,False,PASS
major7_review_needed,match_or_review_metadata,QUALITY,row_quality,bool,bool,False,10242,0,0.0,2,,,,,,False|True,0,0,False,False,False,PASS
major7_evidence,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,596,,,,,,D01 v2 high-confidence match 대계열=의약계열|D01 v2 high-confidence match 대계열=사회계열|D01 v2 high-confidence match 대계열=예체능계열|unique dictionary inherited from matched rows: dept_field_std=사회복지상담|MED:안경광,0,0,False,False,False,PASS
major7_sample_exclusion_rule,sample_exclusion_metadata,QUALITY,department,str,str,False,10242,0,0.0,2,,,,,,|exclude from samples requiring major/context/GOMS until manual approved,0,0,False,False,False,PASS
has_structure_context,sample_observation_flag,QUALITY,row_quality,boolean,boolean,False,10242,0,0.0,2,,,,,,True|False,0,0,False,False,False,PASS
has_major_group_7_high_medium,sample_observation_flag,QUALITY,row_quality,boolean,boolean,False,10242,0,0.0,2,,,,,,True|False,0,0,False,False,False,PASS
row_qa_status,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,3,,,,,,ok|manual_match_pending|review_unmatched,0,0,False,False,False,PASS
ctx24_reference_sample_n,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,15498.0,15498.0,41094.0,72776.0,72776.0,41094.0|65600.0|22813.0|22406.0|15498.0,0,0,False,False,False,PASS
ctx24_mean_income_10kkrw,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,,,,,,314.29998779296875|300.29998779296875|234.6999969482422|281.79998779296875|260.20001220703125,0,0,False,False,False,PASS
ctx24_median_income_10kkrw,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,,,,,,282.3999938964844|250.5|217.5|248.89999389648438|235.3000030517578,0,0,False,False,False,PASS
ctx24_income_300plus_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,13.426554679870605,13.426554679870605,32.47256088256836,46.69533920288086,46.69533920288086,43.33479309082031|32.47256088256836|13.426554679870605|27.32750129699707|27.184152603149414,0,0,False,False,False,PASS
ctx24_income_400plus_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,4.8919477462768555,4.8919477462768555,16.07621955871582,23.57233238220215,23.57233238220215,13.206307411193848|16.07621955871582|4.8919477462768555|11.394268989562988|5.142599105834961,0,0,False,False,False,PASS
ctx24_large_company_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,1.6036404371261597,1.6036404371261597,11.987804412841797,21.148454666137695,21.148454666137695,1.6036404371261597|11.987804412841797|8.214614868164062|14.424707412719727|2.40676212310791,0,0,False,False,False,PASS
ctx24_mid_company_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,0.9928456544876099,0.9928456544876099,6.6478657722473145,11.050346374511719,11.050346374511719,0.9928456544876099|6.6478657722473145|4.6333231925964355|7.55601167678833|1.1420828104019165,0,0,False,False,False,PASS
ctx24_small_company_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,15.931087493896484,15.931087493896484,53.189239501953125,70.78858184814453,70.78858184814453,48.612937927246094|42.6753044128418|70.78858184814453|53.94091033935547|15.931087493896484,0,0,False,False,False,PASS
ctx24_large_mid_company_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,2.5964860916137695,2.5964860916137695,18.635671615600586,32.19880294799805,32.19880294799805,2.5964860916137695|18.635671615600586|12.84793758392334|21.9807186126709|3.548845052719116,0,0,False,False,False,PASS
ctx24_public_nonprofit_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,13.89469051361084,13.89469051361084,22.244041442871094,48.722415924072266,48.722415924072266,48.32579040527344|32.72256088256836|15.434182167053223|22.244041442871094|48.722415924072266,0,0,False,False,False,PASS
ctx24_cert_rate_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,25.100000381469727,25.100000381469727,44.5,60.900001525878906,60.900001525878906,25.200000762939453|44.5|32.5|58.900001525878906|25.100000381469727,0,0,False,False,False,PASS
ctx24_cert_per_person,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,0.41395336389541626,0.41395336389541626,0.7960060834884644,1.425703525543213,1.425703525543213,0.41395336389541626|0.7960060834884644|0.5230351090431213|1.2636346817016602|0.4536714553833008,0,0,False,False,False,PASS
ctx24_log10_mean_income,major7_2024_context,C24,major7_year,Float32,Float32,True,10099,143,1.3962116774067566,7,,,,,,2.4973442554473877|2.477555274963379|2.3705132007598877|2.4499409198760986|2.4153072834014893,0,0,False,False,False,PASS
ctx24_industry_top3_pct,major7_2024_context,C24,major7_year,Float32,Float32,True,0,10242,100.0,0,,,,,,,0,0,True,False,False,WARN
ctx24_industry_hhi,major7_2024_context,C24,major7_year,Float32,Float32,True,0,10242,100.0,0,,,,,,,0,0,True,False,False,WARN
goms_profile_start_year,major7_historical_context,GOMS,major7,Int16,Int16,True,10099,143,1.3962116774067566,1,2017.0,2017.0,2017.0,2017.0,2017.0,2017,0,0,False,True,False,WARN
goms_profile_end_year,major7_historical_context,GOMS,major7,Int16,Int16,True,10099,143,1.3962116774067566,1,2019.0,2019.0,2019.0,2019.0,2019.0,2019,0,0,False,True,False,WARN
goms_profile_years_n,major7_historical_context,GOMS,major7,Int16,Int16,True,10099,143,1.3962116774067566,1,3.0,3.0,3.0,3.0,3.0,3,0,0,False,True,False,WARN
goms_aggregation_method,major7_historical_context,GOMS,major7,category,category,True,10099,143,1.3962116774067566,1,,,,,,mixed_weighted_2017_2019,0,0,False,True,False,WARN
goms_recent_employment_rate_pct,major7_historical_context,GOMS,major7,Float32,Float32,True,10099,143,1.3962116774067566,7,64.40062713623047,64.40062713623047,69.60953521728516,83.63194274902344,83.63194274902344,83.63194274902344|69.60953521728516|70.64433288574219|66.61615753173828|69.2024154663086,0,0,False,False,False,PASS
goms_recent_firm_300plus_pct,major7_historical_context,GOMS,major7,Float32,Float32,True,10099,143,1.3962116774067566,7,4.769505023956299,4.769505023956299,20.634124755859375,34.586936950683594,34.586936950683594,34.586936950683594|20.332578659057617|8.162267684936523|20.634124755859375|4.769505023956299,0,0,False,False,False,PASS
