row_type,sample_id,target,group,N,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_ratio,hundred_ratio,skewness,school_icc
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,ENG,822,,,,,,,,,,,,0.010948905109489052,,,
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,HUM,366,,,,,,,,,,,,0.00546448087431694,,,
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,MED,255,,,,,,,,,,,,0.011764705882352941,,,
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,NAT,477,,,,,,,,,,,,0.008385744234800839,,,
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,SOC,600,,,,,,,,,,,,0.006666666666666667,,,
split_distribution,P2_SELECTIVITY_READY,a_rate_pct,test,312,41.09481430053711,8.918952941894531,,,,,40.55265426635742,,,,,0.003205128205128205,,,
split_distribution,P2_SELECTIVITY_READY,a_rate_pct,train,2293,40.99490737915039,13.093607902526855,,,,,38.96992111206055,,,,,0.007849978194505015,,,
split_distribution,P2_SELECTIVITY_READY,a_rate_pct,val,514,39.5194091796875,12.206515312194824,,,,,37.38774871826172,,,,,0.007782101167315175,,,
overall,P2_SELECTIVITY_READY,health_employment_rate_pct,ALL,2355,53.065738677978516,16.760744094848633,0.0,11.610084037780762,25.0,42.553192138671875,53.33333206176758,63.91165733337402,80.53030166625976,93.7203050231934,100.0,0.0025477707006369425,0.004670912951167728,-0.03561241179704666,0.3727418780326843
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,ART,173,,,,,,,,,,,,0.005780346820809248,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,EDU,352,,,,,,,,,,,,0.005681818181818182,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,ENG,501,,,,,,,,,,,,0.0,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,HUM,302,,,,,,,,,,,,0.0033112582781456954,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,MED,201,,,,,,,,,,,,0.0,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,NAT,375,,,,,,,,,,,,0.005333333333333333,,,
major_zero_ratio,P2_SELECTIVITY_READY,health_employment_rate_pct,SOC,451,,,,,,,,,,,,0.0,,,
split_distribution,P2_SELECTIVITY_READY,health_employment_rate_pct,test,253,54.34714889526367,16.253671646118164,,,,,53.33333206176758,,,,,0.0,,,
split_distribution,P2_SELECTIVITY_READY,health_employment_rate_pct,train,1742,52.55542755126953,16.739646911621094,,,,,52.6315803527832,,,,,0.0028702640642939152,,,
split_distribution,P2_SELECTIVITY_READY,health_employment_rate_pct,val,360,54.634521484375,17.110746383666992,,,,,54.823204040527344,,,,,0.002777777777777778,,,
overall,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,ALL,2376,9.507903099060059,13.215312004089355,0.0,0.0,0.0,0.0,3.7441587448120117,14.285714149475098,39.15174865722656,55.01792240142822,100.0,0.3522727272727273,0.00042087542087542086,1.8620027303695679,0.9401078224182129
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,ART,173,,,,,,,,,,,,0.3699421965317919,,,
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,EDU,355,,,,,,,,,,,,0.6338028169014085,,,
